Company,App Name,Rating,Installs,url,Developers Website
Global Citizen,Global Citizen,3.726547003,100000.0,,
Twitter,Twitter,4.311233997,500000000.0,https://play.google.com/store/apps/details?id=com.twitter.android,
SiriusXM,SiriusXM,4.316278458,10000000.0,,
iHeartRadio,"iHeartRadio - Free Music, Radio & Podcasts",4.661151886,50000000.0,,
JOANN Stores,,,,,
LogMeIn,LogMeIn,3.966305494,1000000.0,https://play.google.com/store/apps/details?id=com.logmein.ignitionpro.android,
Jersey Mike's Subs,,,,,
iNTEL SECURITY,,,,,
Canva,"Canva: Graphic Design & Logo, Flyer, Poster maker",4.759311199,10000000.0,,
Amanotes,,,,,
Kdan Mobile,,,,,
Zappos Family of Companies,,,,,
edX,"edX - Online Courses by Harvard, MIT, Microsoft",4.614418983,1000000.0,,
Inkitt,"Inkitt � Free Fiction Books, Novels & Stories",4.533639431,500000.0,,
APPLEBEE S,,,,,
Coinbase,Coinbase � Buy & Sell Bitcoin. Crypto Wallet.,4.256000519,5000000.0,,
LevelUp,LevelUp: Order food ahead and never wait in line,4.48503828,100000.0,,
KABB-TV,,,,,
"Popeyes Louisiana Kitchen, Inc.",,,,,
Panda Restaurant Group,,,,,
First Orion,,,,,
LightInTheBox,LightInTheBox Online Shopping,3.999083996,5000000.0,https://play.google.com/store/apps/details?id=com.lightinthebox.android,
Bandsintown Group,,,,,
Trigone,,,,,
Kahoot!,Kahoot!,4.23511076,10000000.0,https://play.google.com/store/apps/details?id=no.mobitroll.kahoot.android,
City Harvest,,,,,
Severex,,,,,
Missouri Department of Conservation,,,,,
Amanotes,,,,,
Easybrain,,,,,
Aaptiv,Aaptiv: #1 Audio Fitness App,3.615491867,1000000.0,,
Wave Systems Corp.,,,,,
BuzzFeed,"BuzzFeed: News, Tasty, Quizzes",4.315285683,5000000.0,,
Miniclip,,,,,
Geeko Tech,,,,,
Edmodo,Edmodo,4.156815529,10000000.0,https://play.google.com/store/apps/details?id=com.fusionprojects.edmodo,
MasterClass,"MasterClass: Learn How To Cook, Sing, Act and More",4.769716263,100000.0,,
